fy,title,title_url,original_solicitation,original_solicitation_url,recipient,state,award_number,amount,status
2023,"911, What's Your Emergency?: Factors Impacting Call Coding",https://nij.ojp.gov/funding/awards/15pnij-23-gg-01367-nijb,NIJ FY23 W.E.B. Du Bois Program of Research on Reducing Racial and Ethnic Disparities in the Justice System,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171519,UNIVERSITY OF CHICAGO,IL,15PNIJ-23-GG-01367-NIJB,"$500,000",Open
2023,A 28-year longitudinal study of victimization and perpetration of violence in high-risk youth: Advancing the development of preventive interventions in the community,https://nij.ojp.gov/funding/awards/15pnij-23-gg-04269-cvip,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171648,NORTHWESTERN UNIVERSITY,IL,15PNIJ-23-GG-04269-CVIP,"$1,000,000",Open
2023,A Frame Analysis of Violence and Accelerationism in Cognitive Radicalization,https://nij.ojp.gov/funding/awards/15pnij-23-gg-01382-domr,NIJ FY23 Research and Evaluation on Domestic Radicalization and Violent Extremism,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171569,YOUNGSTOWN STATE UNIVERSITY,OH,15PNIJ-23-GG-01382-DOMR,"$449,897",Open
2023,A longitudinal cohort mixed methods study of the impact of mental health on retention and turnover among early career police officers in South Carolina,https://nij.ojp.gov/funding/awards/15pnij-23-gg-05499-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,UNIVERSITY OF SOUTH CAROLINA,SC,15PNIJ-23-GG-05499-RESS,"$1,000,000",Open
2023,A Micro-and Macro Evaluation of the Effectiveness of Extreme Risk Protection Orders in Colorado,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02401-mumu,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171566,THE REGENTS OF THE UNIV. OF COLORADO,CO,15PNIJ-23-GG-02401-MUMU,"$1,456,274",Open
2023,"A Mixed Methods Evaluation of the Impacts and Implementation of Florida's Risk Protection Order (RPO) Law, 2018-2023",https://nij.ojp.gov/funding/awards/15pnij-23-gg-02406-bsci,NIJ FY23 Research and Evaluation on Firearms Violence and Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171566,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-GG-02406-BSCI,"$700,224",Open
2023,A Mixed-Method Examination of the Effectiveness of Money Bail and other Pretrial Release Options,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02233-nijb,NIJ FY23 Research and Evaluation on Jails,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171613,FLORIDA STATE UNIVERSITY,FL,15PNIJ-23-GG-02233-NIJB,"$560,195",Open
2023,"A multilevel analysis of juvenile life without parole and its reform: understanding the people, places, and politics that shape policy.",https://nij.ojp.gov/funding/awards/15pnij-23-gg-01952-titl,NIJ FY23 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171521,NORTHWESTERN UNIVERSITY,IL,15PNIJ-23-GG-01952-TITL,"$166,500",Open
2023,A Nationwide Assessment of Jail Reentry Policies and Practices: A Two-Tiered Study of the Field,https://nij.ojp.gov/funding/awards/15pnij-23-gg-02232-scax,NIJ FY23 Research and Evaluation on Jails,https://nij.ojp.gov/funding/opportunities/o-nij-2023-171613,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-23-GG-02232-SCAX,"$599,986",Open
2023,"A Process, Adaptation, and Outcome Evaluation of San Gabriel Valley Crisis Assistance Response & Engagement (SGV CARE)",https://nij.ojp.gov/funding/awards/15pnij-23-gg-05494-ress,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",https://nij.ojp.gov/funding/opportunities/o-nij-2023-171675,THE RAND CORPORATION,CA,15PNIJ-23-GG-05494-RESS,"$573,536",Open
